unit,items,value_count,average_placement
TFT7_Lillia,"None, None, None",3003,4.486846486846487
TFT7_Lillia,None,9060,4.490066225165563
TFT7_Lulu,Shroud,27,3.259259259259259
TFT7_Lulu,Redemption,15,3.4
TFT7_Lulu,LocketOfTheIronSolari,62,3.4838709677419355
TFT7_Lulu,ZekesHerald,61,3.5737704918032787
TFT7_Lulu,"LocketOfTheIronSolari, None, None",22,3.6363636363636362
TFT7_Nami,StatikkShiv,36,4.083333333333333
TFT7_Nami,"None, None, None",2915,4.476500857632933
TFT7_Nami,None,8862,4.490182802979011
TFT7_Nami,ArchangelsStaff,40,4.575
TFT7_Nami,HextechGunblade,12,4.833333333333333
TFT7_Neeko,Chalice,18,3.0
TFT7_Neeko,DragonmancerEmblemItem,71,3.4788732394366195
TFT7_Neeko,Morellonomicon,53,3.5849056603773586
TFT7_Neeko,Zephyr,18,3.611111111111111
TFT7_Neeko,PowerGauntlet,17,3.764705882352941
TFT7_Nidalee,"GuinsoosRageblade, MadredsBloodrazor, Quicksilver",12,4.166666666666667
TFT7_Nidalee,MadredsBloodrazor,25,4.32
TFT7_Nidalee,"None, None, None",2975,4.492436974789916
TFT7_Nidalee,None,8937,4.494349334228488
TFT7_Nidalee,Quicksilver,56,4.517857142857143
TFT7_Nunu,ZekesHerald,15,3.0
TFT7_Nunu,Chalice,24,3.0833333333333335
TFT7_Nunu,IonicSpark,18,4.222222222222222
TFT7_Nunu,WarmogsArmor,28,4.25
TFT7_Nunu,RedBuff,45,4.4222222222222225
TFT7_Olaf,UnstableConcoction,15,3.8
TFT7_Olaf,"AssassinEmblemItem, InfinityEdge, RunaansHurricane",44,3.909090909090909
TFT7_Olaf,RunaansHurricane,85,4.094117647058823
TFT7_Olaf,RapidFireCannon,75,4.213333333333333
TFT7_Olaf,"AssassinEmblemItem, InfinityEdge, RapidFireCannon",46,4.217391304347826
TFT7_Ornn,SeraphsEmbrace,16,3.0625
TFT7_Ornn,InfinityEdge,13,3.1538461538461537
TFT7_Ornn,PowerGauntlet,20,3.2
TFT7_Ornn,Quicksilver,34,3.264705882352941
TFT7_Ornn,JeweledGauntlet,19,3.3684210526315788
TFT7_Pyke,MadredsBloodrazor,18,2.611111111111111
TFT7_Pyke,Bloodthirster,13,2.6923076923076925
TFT7_Pyke,JeweledGauntlet,17,2.823529411764706
TFT7_Pyke,FrozenHeart,25,3.16
TFT7_Pyke,RabadonsDeathcap,12,3.4166666666666665
TFT7_Qiyana,RedBuff,16,2.5
TFT7_Qiyana,StatikkShiv,13,2.769230769230769
TFT7_Qiyana,Shroud,27,3.111111111111111
TFT7_Qiyana,ThiefsGloves,18,3.1666666666666665
TFT7_Qiyana,"None, None, Shroud",14,3.2857142857142856
TFT7_Ryze,MadredsBloodrazor,24,4.375
TFT7_Ryze,"None, None, None",2901,4.465701482247501
TFT7_Ryze,None,8762,4.46975576352431
TFT7_Ryze,JeweledGauntlet,28,4.892857142857143
TFT7_Ryze,"ArchangelsStaff, HextechGunblade, SpearOfShojin",17,5.0
TFT7_Sejuani,"None, None, Zephyr",17,2.823529411764706
