comp,value_count,average_placement,group,grp_count,grp_placement
"Ashe, Elise, Karma, Neeko, Sett, Shyvana, Swain, Yasuo",1,1.0,10,759,4.657793240418274
"AoShin, Bard, Gnar, Lulu, Neeko, Ornn, Soraka, Sylas",1,1.0,30,2,3.5
"AoShin, Bard, Neeko, Ornn, Sejuani, Shen, Soraka, Yasuo",1,1.0,3,19,3.0833333333333335
"Ashe, Elise, Gnar, Neeko, Nidalee, Shyvana, Swain, Thresh",1,1.0,10,759,4.657793240418274
"AoShin, Bard, DragonGold, DragonGreen, Ornn, Shyvana",1,1.0,31,2,1.0
"Bard, Kayn, Neeko, Pyke, Soraka, Swain, Volibear, Xayah, Yasuo, Zoe",1,1.0,32,1,1.0
"Bard, Kayn, Soraka, Volibear, Zoe",1,1.0,33,1,1.0
"Bard, Corki, DragonBlue, Jinx, Lulu, Ornn, Sona, TahmKench",2,1.0,34,29,3.1583333333333337
"Bard, Corki, DragonBlue, Jinx, Lulu, Ornn, Sona, TahmKench, Yasuo",1,1.0,34,29,3.1583333333333337
"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sona, TrainerDragon, Yasuo, Zoe",1,1.0,35,94,3.3930199430199433
"Bard, Corki, DragonBlue, Heimerdinger, Lulu, Sona, TahmKench, TrainerDragon",1,1.0,36,1,1.0
"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sona, Sylas, TrainerDragon, Yasuo, Zoe",1,1.0,35,94,3.3930199430199433
"Bard, Corki, DragonBlue, Lulu, Shen, Sona, TahmKench, TrainerDragon, Tristana",1,1.0,37,757,3.607981262959016
"Ashe, Hecarim, Karma, LeeSin, Neeko, Nunu, Sett, Swain",1,1.0,10,759,4.657793240418274
"Ashe, Hecarim, Karma, Sett, Shyvana, Soraka, Swain, Yasuo",1,1.0,10,759,4.657793240418274
"AoShin, Bard, Heimerdinger, Lulu, Ornn, Pyke, Sylas, TrainerDragon, Zoe",2,1.0,35,94,3.3930199430199433
"Bard, Corki, Hecarim, Lulu, Neeko, Ornn, Pyke, Xayah, Yasuo",1,1.0,38,6,4.333333333333333
"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, Thresh, TrainerDragon, Zoe",1,1.0,35,94,3.3930199430199433
"AoShin, Bard, Lulu, Nami, Ornn, Soraka, Sylas, Zoe",1,1.0,15,35,3.6666666666666665
"Ashe, Hecarim, Karma, LeeSin, Neeko, Ornn, Sett, Swain, Yasuo",2,1.0,10,759,4.657793240418274
"AoShin, Bard, Lulu, Nami, Ornn, Sona, Soraka, Zoe",1,1.0,15,35,3.6666666666666665
"Bard, Corki, Jinx, Lulu, Ornn, Sona, Soraka, TahmKench, TrainerDragon, Tristana",1,1.0,37,757,3.607981262959016
"AoShin, Bard, Lulu, Ornn, Shen, Sona, Soraka, Yasuo",1,1.0,39,3,1.25
"AoShin, Bard, Lulu, Ornn, Shen, Sona, Yasuo, Zoe",1,1.0,9,7,3.5714285714285716
"Ashe, Gnar, Kayn, Neeko, Shyvana, Swain, Volibear, Xayah, Yasuo",1,1.0,10,759,4.657793240418274
"Ashe, Gnar, Hecarim, Neeko, Sett, Shyvana, Swain",1,1.0,10,759,4.657793240418274
"DragonPurple, Ornn, Qiyana, Ryze, Soraka, Sylas, Talon, Zoe",1,1.0,2,11,4.090909090909091
"Ashe, Gnar, Neeko, Pyke, Sett, Shyvana, Swain, Xayah",1,1.0,10,759,4.657793240418274
"Ashe, Gnar, Neeko, Ornn, Sett, Shen, Shyvana, Swain",1,1.0,10,759,4.657793240418274
"Ashe, Gnar, Neeko, Ornn, Shen, Shyvana, Swain, Xayah",1,1.0,10,759,4.657793240418274
"DragonPurple, Ornn, Shen, Sylas, Volibear, Yasuo",1,1.0,25,655,4.47806193258104
