placement,match_id,augment0,augment1,augment2,Set7_Assassin,Set7_Astral,Set7_Bard,Set7_Bruiser,Set7_Cannoneer,Set7_Cavalier,Set7_Dragon,Set7_Dragonmancer,Set7_Evoker,Set7_Guardian,Set7_Guild,Set7_Jade,Set7_Legend,Set7_Mage,Set7_Mirage,Set7_Mystic,Set7_Ragewing,Set7_Revel,Set7_Scalescorn,Set7_Shapeshifter,Set7_Shimmerscale,Set7_SpellThief,Set7_Starcaller,Set7_Swiftshot,Set7_Tempest,Set7_Trainer,Set7_Warrior,Set7_Whispers,TFT7_Anivia,TFT7_Anivia_item0,TFT7_AoShin,TFT7_AoShin_item0,TFT7_Ashe,TFT7_Ashe_item0,TFT7_Ashe_item1,TFT7_Bard,TFT7_Bard_item0,TFT7_Bard_item1,TFT7_Bard_item2,TFT7_Corki,TFT7_Corki_item0,TFT7_Corki_item1,TFT7_Corki_item2,TFT7_DragonBlue,TFT7_DragonBlue_item0,TFT7_DragonBlue_item1,TFT7_DragonBlue_item2,TFT7_DragonGold,TFT7_DragonGold_item0,TFT7_DragonGold_item1,TFT7_DragonGold_item2,TFT7_DragonGreen,TFT7_DragonGreen_item0,TFT7_DragonGreen_item1,TFT7_DragonGreen_item2,TFT7_Heimerdinger,TFT7_Illaoi,TFT7_Illaoi_item0,TFT7_Illaoi_item1,TFT7_Illaoi_item2,TFT7_Jinx,TFT7_LeeSin,TFT7_LeeSin_item0,TFT7_LeeSin_item1,TFT7_LeeSin_item2,TFT7_Lillia,TFT7_Lulu,TFT7_Lulu_item0,TFT7_Lulu_item1,TFT7_Lulu_item2,TFT7_Nami,TFT7_Nami_item0,TFT7_Nami_item1,TFT7_Nami_item2,TFT7_Neeko,TFT7_Neeko_item0,TFT7_Neeko_item1,TFT7_Ornn,TFT7_Ornn_item0,TFT7_Ornn_item1,TFT7_Ornn_item2,TFT7_Pyke,TFT7_Qiyana,TFT7_Qiyana_item0,TFT7_Qiyana_item1,TFT7_Ryze,TFT7_Sejuani,TFT7_Senna,TFT7_Shen,TFT7_Sona,TFT7_Sona_item0,TFT7_Sona_item1,TFT7_Sona_item2,TFT7_Soraka,TFT7_Swain,TFT7_Sylas,TFT7_Talon,TFT7_Talon_item0,TFT7_TrainerDragon,TFT7_TrainerDragon_item0,TFT7_TrainerDragon_item1,TFT7_TrainerDragon_item2,TFT7_Tristana,TFT7_Tristana_item0,TFT7_Tristana_item1,TFT7_Tristana_item2,TFT7_Twitch,TFT7_Twitch_item0,TFT7_Varus,TFT7_Varus_item0,TFT7_Varus_item1,TFT7_Varus_item2,TFT7_Vladimir,TFT7_Volibear,TFT7_Volibear_item0,TFT7_Volibear_item1,TFT7_Volibear_item2,TFT7_Yasuo,TFT7_Yasuo_item0,TFT7_Yasuo_item1,TFT7_Yasuo_item2,TFT7_Zoe,TFT7_Zoe_item0
1,NA1_4372890785,TFT6_Augment_TradeSector,TFT6_Augment_ThrillOfTheHunt1,TFT6_Augment_Recombobulator,,,,1.0,,,1.0,0.0,0.0,,,,0.0,1.0,2.0,0.0,0.0,,,,0.0,1.0,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,3.0,GuinsoosRageblade,MadredsBloodrazor,UnstableConcoction,,,,,,,,,1.0,,,,,,,,,,,3.0,ThiefsGloves,Redemption,LastWhisper,,,,,,,,2.0,TitanicHydra,GiantsBelt,RedBuff,,,,,,,,2.0,,,,,,,2.0,,,3.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,2.0,WarmogsArmor,IonicSpark,TitansResolve,2.0,RunaansHurricane
2,NA1_4372890785,TFT6_Augment_RichGetRicher,TFT6_Augment_SecondWind1,TFT7_Augment_BestFriends1,,1.0,,1.0,,0.0,,,,,3.0,0.0,,1.0,,0.0,,,,,,,1.0,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,GargoyleStoneplate,RedBuff,DragonsClaw,,,,,,,,,,,3.0,Morellonomicon,Redemption,,,,,,,,,,,,,2.0,1.0,,,,,,,1.0,,2.0,,,,,None,None,,,,,2.0,,3.0,Deathblade,GuinsoosRageblade,RunaansHurricane,,,,,,,,,,,
4,NA1_4372890785,TFT6_Augment_BlueBattery2,TFT6_Augment_SecondWind1,TFT7_Augment_AxiomArc1,,0.0,1.0,,,,1.0,,1.0,0.0,1.0,,,1.0,,2.0,,0.0,,,1.0,1.0,,,,1.0,,,,,,,,,,2.0,ShimmerscaleDravensAxe,StatikkShiv,WarmogsArmor,,,,,,,,,2.0,GargoyleStoneplate,TitansResolve,Redemption,,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,SpearOfShojin,ArchangelsStaff,UnstableConcoction,,,,,,3.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,1.0,LocketOfTheIronSolari
6,NA1_4372890785,TFT6_Augment_CelestialBlessing2,TFT7_Augment_GuildTrait,TFT6_Augment_MakeshiftArmor1,0.0,,,,,0.0,1.0,,1.0,,5.0,1.0,,0.0,,1.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,TitansResolve,Bloodthirster,InfinityEdge,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,2.0,InfinityEdge,,,None,None,,,,,2.0,EvokerEmblemItem,,,,,,,,,,,,,,,
3,NA1_4372890785,TFT7_Augment_CannoneerHotShot,TFT6_Augment_Featherweights1,TFT6_Augment_CelestialBlessing1,,,,,3.0,,1.0,,1.0,0.0,,,,,,0.0,0.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,2.0,ShimmerscaleDravensAxe,GuinsoosRageblade,UnstableConcoction,,,,,2.0,GargoyleStoneplate,WarmogsArmor,Redemption,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,JeweledGauntlet,ArchangelsStaff,HextechGunblade,,,,,,4.0,TrainerSnax,None,None,2.0,MadredsBloodrazor,LastWhisper,RunaansHurricane,,,,,,,,,,,,,,,,,
7,NA1_4372890785,TFT6_Augment_TriForce2,TFT7_Augment_JadeEmblem,TFT7_Augment_BigFriend,,,1.0,0.0,,,,1.0,0.0,,1.0,1.0,1.0,,,0.0,0.0,,,1.0,0.0,,,,1.0,,,,2.0,ArchangelsStaff,,,,,,1.0,TearOfTheGoddess,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,ZekesHerald,BrambleVest,1.0,JadeEmblemItem,TitansResolve,,,,,,,,,,,,,,,2.0,,,,,,None,None,,,,,,,,,,,,1.0,GuinsoosRageblade,Bloodthirster,Quicksilver,,,,,,
5,NA1_4372890785,TFT6_Augment_PortableForge,TFT6_Augment_LudensEcho1,TFT7_Augment_TempestTrait,1.0,,,0.0,,,1.0,1.0,,,,0.0,0.0,,,,,,,,0.0,,,0.0,3.0,,,0.0,,,1.0,TearOfTheGoddess,3.0,GuinsoosRageblade,Bloodthirster,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,OrnnAnimaVisage,FrozenHeart,Shroud,,,,,,,,,,,,,1.0,,,,1.0,3.0,SeraphsEmbrace,RabadonsDeathcap,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,3.0,DragonsClaw,,,,,,,,
8,NA1_4372890785,TFT6_Augment_LudensEcho2,TFT7_Augment_MageTrait,TFT6_Augment_PandorasItems,,1.0,,1.0,,0.0,,,,,1.0,,,3.0,,0.0,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,GargoyleStoneplate,WarmogsArmor,,,,,,,2.0,,,,,3.0,SpearOfShojin,StatikkShiv,HextechGunblade,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,None,None,,,,,,,,,,,2.0,,,,,,,,,,
