comp,value_count,average_placement,group,grp_count,grp_placement
"DragonPurple, Nami, Ornn, Pyke, Shen, Sylas, Yasuo, Zoe",1,1.0,26,9,4.9375
"AoShin, DragonPurple, Neeko, Ornn, Shyvana, Soraka",1,1.0,27,1,1.0
"DragonGreen, Gnar, Lulu, Nami, Neeko, Soraka, Talon",1,1.0,28,16,3.9
"Bard, Corki, DragonPurple, Lulu, Nami, Sona, Sylas, TrainerDragon, Tristana, Zoe",1,1.0,29,77,3.2707142857142855
"DragonGreen, Gnar, Lulu, Neeko, Soraka, Yasuo",1,1.0,28,16,3.9
"DragonGreen, Gnar, Lulu, Neeko, Sona, Yasuo, Zoe",1,1.0,30,1,1.0
"Bard, DragonBlue, Hecarim, Nunu, Yasuo, Yone, Zoe",1,1.0,31,2,1.5
"Ashe, Bard, Ezreal, Ryze, Sejuani, Talon, Twitch, Varus, Xayah",1,1.0,32,1,1.0
"DragonGold, DragonGreen, DragonPurple, Pyke, Sylas, Thresh",1,1.0,33,1,1.0
"Bard, DragonBlue, Hecarim, Nunu, Sejuani, Soraka, Yasuo, Yone",1,1.0,34,65,3.4641304347826085
"Ashe, Bard, Lulu, Neeko, Shyvana, Soraka, Swain, Yasuo",1,1.0,35,2,1.5
"Bard, DragonBlue, Hecarim, Nunu, Sejuani, Twitch, Yasuo, Yone",1,1.0,36,14,3.576923076923077
"DragonGold, DragonGreen, DragonPurple, Pyke, Talon, Yasuo",1,1.0,37,1,1.0
"DragonGold, DragonGreen, DragonPurple, Ornn, Pyke, Zoe",1,1.0,38,1,1.0
"Bard, DragonBlue, Hecarim, Nunu, Sejuani, Talon, Twitch, Yasuo",1,1.0,36,14,3.576923076923077
"DragonGold, DragonGreen, Lulu, Soraka, Taric, Zoe",1,1.0,39,1,1.0
"DragonBlue, Leona, Nunu, Olaf, Shen, Thresh, Yasuo, Yone",1,1.0,40,1,1.0
"DragonGold, Hecarim, Kayn, Soraka, Volibear, Xayah, Yasuo, Zoe",1,1.0,41,1,1.0
"Bard, DragonBlue, Neeko, Ornn, Pyke, Shyvana, Yasuo",1,1.0,42,2,1.5
"DragonBlue, Hecarim, Nunu, Sejuani, Soraka, Yasuo",1,1.0,43,125,4.821134094663507
"Bard, Gnar, Neeko, Sett, Shyvana, Soraka, Swain, Yasuo",1,1.0,44,3,3.0
"DragonBlue, Hecarim, Nunu, Shen, Soraka, Twitch, Xayah",1,1.0,45,1,1.0
"Bard, DragonGreen, DragonPurple, Elise, Neeko, Shen",1,1.0,46,1,1.0
"Bard, DragonGreen, DragonPurple, Lulu, Ornn, Shen, Sylas, Yasuo",1,1.0,47,79,3.194871794871795
"Bard, DragonGreen, DragonPurple, Ornn, Pyke, Sylas, Talon",1,1.0,48,1,1.0
"Bard, DragonGreen, DragonPurple, Ornn, Shyvana, Soraka",1,1.0,49,1,1.0
"DragonBlue, Hecarim, Nunu, Ornn, Qiyana, Sejuani, Talon, Yasuo, Yone",1,1.0,43,125,4.821134094663507
"Bard, DragonGreen, DragonPurple, Gnar, Neeko, Pyke, Soraka",1,1.0,50,75,2.988095238095238
"Bard, DragonGreen, DragonPurple, Gnar, Neeko, Soraka, Sylas",1,1.0,50,75,2.988095238095238
"DragonBlue, Hecarim, Nunu, Pyke, Soraka, Talon, Yasuo, Yone",1,1.0,43,125,4.821134094663507
"Bard, DragonBlue, DragonGreen, DragonPurple, Sylas, Yasuo",1,1.0,51,12,3.8518518518518525
"Bard, DragonBlue, Hecarim, Nunu, Pyke, Sejuani, Talon, Twitch, Yasuo",1,1.0,36,14,3.576923076923077
"Bard, DragonBlue, Hecarim, Nunu, Pyke, Sejuani, Twitch, Yasuo",1,1.0,36,14,3.576923076923077
"AoShin, DragonPurple, Ornn, Pyke, Shen, Sylas",1,1.0,52,1,1.0
"DragonGreen, Gnar, Lulu, Neeko, Pyke, Soraka, Talon, Yasuo",1,1.0,28,16,3.9
"Aatrox, Bard, DragonGold, Kayn, Soraka, Volibear, Xayah, Zoe",1,1.0,53,1,1.0
"Bard, Hecarim, Kayn, Ornn, Sejuani, Shen, Talon, Twitch, Xayah",1,1.0,8,157,3.984284532671629
"Ashe, Gnar, Neeko, Shyvana, Soraka, Swain, Xayah, Yasuo",1,1.0,7,268,4.559649122807018
"Bard, Hecarim, Nunu, Ornn, Qiyana, Shen, Talon, Twitch, Xayah",1,1.0,8,157,3.984284532671629
"Aatrox, Bard, Corki, DragonGold, Kayn, Pyke, Yasuo, Zoe",1,1.0,54,4,3.1666666666666665
"Aatrox, Bard, Corki, DragonGold, Nami, Thresh, Volibear, Yasuo, Zoe",1,1.0,55,1,1.0
"Aatrox, Bard, DragonBlue, Ornn, Pyke, Shyvana, Yasuo",1,1.0,56,1,1.0
"Bard, Hecarim, Sejuani, Shyvana, Soraka, Swain, Twitch, Xayah",1,1.0,8,157,3.984284532671629
"DragonGreen, DragonPurple, Gnar, Neeko, Pyke, Soraka, Talon",1,1.0,57,1,1.0
"Bard, DragonBlue, Elise, Neeko, Ornn, Sylas, Thresh",1,1.0,58,1,1.0
"DragonGreen, DragonPurple, Gnar, Neeko, Pyke, Soraka, Sylas",2,1.0,59,12,3.2
"DragonGold, DragonPurple, Neeko, Shyvana, Thresh",1,1.0,60,4,1.8333333333333333
"DragonPurple, Lulu, Nami, Pyke, Sylas, Talon, Thresh, Zoe",1,1.0,61,2,4.0
"DragonGreen, DragonPurple, Pyke, Qiyana, Sylas, Talon",1,1.0,62,1,1.0
"Bard, DragonBlue, Hecarim, Lillia, Nunu, Sejuani, Yasuo, Yone",2,1.0,34,65,3.4641304347826085
"Ashe, Gnar, Neeko, Sett, Shyvana, Swain, Xayah, Zoe",3,1.0,63,3,1.0
"DragonGreen, Elise, Gnar, Lulu, Neeko, Nidalee, Pyke, Soraka",1,1.0,64,6,3.6666666666666665
"DragonGreen, Elise, Neeko, Nidalee, Soraka",1,1.0,64,6,3.6666666666666665
"DragonGold, Kayn, Shen, Talon, Twitch, Xayah, Yasuo, Zoe",1,1.0,65,1,1.0
"DragonPurple, Pyke, Ryze, Shen, Sylas, Talon, Thresh, Yasuo, Zoe",1,1.0,66,1,1.0
"Gnar, Hecarim, Karma, Neeko, Sett, Shyvana, Swain, Yasuo",1,1.0,67,2,3.5
"Gnar, Hecarim, Neeko, Sett, Shyvana, Soraka, Swain, Yasuo",1,1.0,68,1,1.0
"DragonGold, Kayn, Neeko, Twitch, Volibear, Xayah, Yasuo, Zoe",1,1.0,69,1,1.0
"Bard, DragonBlue, Hecarim, Leona, Nunu, Talon, Yasuo, Yone",1,1.0,34,65,3.4641304347826085
