unit,items,value_count,average_placement
TFT7_Heimerdinger,Deathblade,12,3.1666666666666665
TFT7_Heimerdinger,MysticEmblemItem,19,3.263157894736842
TFT7_Heimerdinger,"MysticEmblemItem, None, None",17,3.3529411764705883
TFT7_Heimerdinger,"None, None, StatikkShiv",24,3.5416666666666665
TFT7_Heimerdinger,StatikkShiv,46,3.5434782608695654
TFT7_Illaoi,"None, None, ThiefsGloves",14,1.2142857142857142
TFT7_Illaoi,"GargoyleStoneplate, MageEmblemItem, RedBuff",12,3.25
TFT7_Illaoi,"DragonsClaw, RedBuff, Redemption",19,3.263157894736842
TFT7_Illaoi,"FrozenHeart, GargoyleStoneplate, RedBuff",16,3.4375
TFT7_Illaoi,StatikkShiv,31,3.5161290322580645
TFT7_Jinx,TitansResolve,16,3.0625
TFT7_Jinx,"LastWhisper, None, None",14,3.4285714285714284
TFT7_Jinx,PowerGauntlet,91,3.791208791208791
TFT7_Jinx,LastWhisper,57,3.8771929824561404
TFT7_Jinx,Morellonomicon,27,3.888888888888889
TFT7_Karma,RunaansHurricane,12,3.3333333333333335
TFT7_Karma,"ArchangelsStaff, None, None",12,3.6666666666666665
TFT7_Karma,ZekesHerald,152,3.776315789473684
TFT7_Karma,PowerGauntlet,62,3.7903225806451615
TFT7_Karma,"None, None, Zephyr",97,3.845360824742268
TFT7_Kayn,"IonicSpark, None, None",14,3.0
TFT7_Kayn,PowerGauntlet,35,3.142857142857143
TFT7_Kayn,IonicSpark,42,3.2857142857142856
TFT7_Kayn,"LocketOfTheIronSolari, None, None",20,3.5
TFT7_Kayn,LocketOfTheIronSolari,47,3.6595744680851063
TFT7_LeeSin,LastWhisper,18,3.5
TFT7_LeeSin,SwiftshotEmblemItem,17,3.5294117647058822
TFT7_LeeSin,BruiserEmblemItem,22,3.5454545454545454
TFT7_LeeSin,"None, None, PowerGauntlet",17,3.588235294117647
TFT7_LeeSin,"None, None, Zephyr",42,3.5952380952380953
TFT7_Leona,"DragonsClaw, RedBuff, WarmogsArmor",15,3.4
TFT7_Leona,ZekesHerald,19,3.6315789473684212
TFT7_Leona,"IonicSpark, RedBuff, WarmogsArmor",13,3.6923076923076925
TFT7_Leona,OrnnEternalWinter,27,3.740740740740741
TFT7_Leona,"GargoyleStoneplate, IonicSpark, RedBuff",29,3.7586206896551726
TFT7_Lillia,LocketOfTheIronSolari,53,3.811320754716981
TFT7_Lillia,Morellonomicon,19,4.052631578947368
TFT7_Lillia,FrozenHeart,18,4.055555555555555
TFT7_Lillia,Shroud,38,4.131578947368421
TFT7_Lillia,"None, None, Shroud",24,4.208333333333333
TFT7_Lulu,"Chalice, PowerGauntlet, ZekesHerald",12,2.3333333333333335
TFT7_Lulu,TitansResolve,26,2.923076923076923
TFT7_Lulu,"None, None, RapidFireCannon",12,3.0
TFT7_Lulu,InfinityEdge,26,3.0384615384615383
TFT7_Lulu,"BruiserEmblemItem, None, None",14,3.0714285714285716
TFT7_Nami,LastWhisper,17,3.3529411764705883
TFT7_Nami,TitansResolve,12,3.5
TFT7_Nami,Redemption,27,3.6296296296296298
TFT7_Nami,RedBuff,12,3.9166666666666665
TFT7_Nami,"None, None, SeraphsEmbrace",15,4.066666666666666
TFT7_Neeko,"RedBuff, Redemption, TitansResolve",13,2.230769230769231
TFT7_Neeko,"OrnnRocketPropelledFist, RedBuff, Redemption",12,2.3333333333333335
TFT7_Neeko,"GuardianEmblemItem, RedBuff, Redemption",12,2.4166666666666665
TFT7_Neeko,"DragonsClaw, WarmogsArmor, WarmogsArmor",12,2.5833333333333335
TFT7_Neeko,"FrozenHeart, Morellonomicon, WarmogsArmor",15,2.6666666666666665
TFT7_Nidalee,OrnnInfinityForce,47,3.106382978723404
TFT7_Nidalee,"Deathblade, Quicksilver, RapidFireCannon",13,3.230769230769231
TFT7_Nidalee,OrnnTheCollector,12,3.5833333333333335
TFT7_Nidalee,"GuinsoosRageblade, Quicksilver, UnstableConcoction",41,3.6097560975609757
TFT7_Nidalee,"Deathblade, MadredsBloodrazor, Quicksilver",54,3.6481481481481484
TFT7_Nunu,"BrambleVest, RedBuff, WarmogsArmor",19,3.3684210526315788
TFT7_Nunu,RunaansHurricane,15,3.533333333333333
TFT7_Nunu,"RedBuff, Redemption, WarmogsArmor",25,3.6
TFT7_Nunu,"DragonsClaw, RedBuff, WarmogsArmor",36,3.6666666666666665
TFT7_Nunu,MadredsBloodrazor,49,3.7346938775510203
TFT7_Olaf,IonicSpark,12,3.5
