comp,value_count,average_placement,group,grp_count,grp_placement
"Bard, DragonGreen, Elise, Gnar, Neeko, Nidalee, Soraka, Swain",1,1.0,26,102,3.1233870967741937
"AoShin, Heimerdinger, LeeSin, Lulu, Ornn, Sona, Sylas, TrainerDragon, Zoe",1,1.0,3,761,4.723195717984592
"Bard, DragonGreen, Elise, Gnar, Neeko, Nidalee, Pyke, Soraka, Talon, Yasuo",1,1.0,26,102,3.1233870967741937
"Bard, DragonGreen, Elise, Gnar, Neeko, Pyke, Soraka, Talon",1,1.0,26,102,3.1233870967741937
"AoShin, Bard, Lulu, Nami, Ornn, Sylas, Vladimir, Zoe",1,1.0,1,172,2.2430460164835164
"Bard, DragonGreen, Elise, Gnar, Lulu, Neeko, Nidalee, Soraka, Thresh",1,1.0,26,102,3.1233870967741937
"AoShin, Bard, Ornn, Shen, Soraka",1,1.0,27,2,4.0
"Braum, Corki, DragonGold, Jinx, Lulu, Nami, Sona, TrainerDragon, Tristana",1,1.0,28,135,5.0022031539888685
"Anivia, Corki, DragonGreen, Gnar, Lulu, Neeko, Sona, TrainerDragon, Tristana",1,1.0,29,1,1.0
"AoShin, Bard, Ornn, Ryze, Sejuani, Sylas, Talon, Twitch, Zoe",1,1.0,1,172,2.2430460164835164
"Anivia, Hecarim, Karma, LeeSin, Ornn, Sejuani, Soraka, Volibear",1,1.0,30,26,4.780701754385965
"Bard, Heimerdinger, Illaoi, Lulu, Nami, Sona, Sylas, TrainerDragon, Varus, Zoe",1,1.0,0,871,3.726982040944807
"Braum, Corki, DragonGold, Lulu, Shen, Soraka, TahmKench, TrainerDragon, Tristana",1,1.0,28,135,5.0022031539888685
"Braum, Corki, DragonGold, Lulu, Neeko, Ryze, Sona, TrainerDragon, Tristana",1,1.0,28,135,5.0022031539888685
"Bard, DragonGreen, Gnar, Neeko, Nidalee, Soraka",1,1.0,26,102,3.1233870967741937
"Bard, DragonGreen, Gnar, Neeko, Nidalee, Soraka, Swain",1,1.0,26,102,3.1233870967741937
"Bard, Diana, Lillia, Olaf, Pyke, Sejuani, Sylas, Talon, Yasuo",1,1.0,31,33,3.144230769230769
"Heimerdinger, Illaoi, Lulu, Nami, Pyke, Ryze, Sylas, TrainerDragon, Tristana, Zoe",1,1.0,3,761,4.723195717984592
"Heimerdinger, Illaoi, Lulu, Nami, Ornn, Ryze, Sylas, TrainerDragon, Vladimir, Zoe",1,1.0,3,761,4.723195717984592
"Anivia, Hecarim, LeeSin, Lulu, Nunu, Ornn, Sejuani, Volibear",1,1.0,30,26,4.780701754385965
"AoShin, Bard, DragonGold, DragonPurple, Ornn, Pyke",1,1.0,32,5,3.111111111111111
"Bard, Heimerdinger, Illaoi, Lulu, Nami, Ryze, Sona, Sylas, TrainerDragon, Vladimir, Zoe",1,1.0,0,871,3.726982040944807
"Heimerdinger, Illaoi, Lulu, Nami, Pyke, Ryze, Sylas, TrainerDragon, Yasuo, Zoe",1,1.0,3,761,4.723195717984592
"Bard, Corki, DragonBlue, Jinx, Lulu, Shen, Sona, TahmKench, TrainerDragon, Tristana",1,1.0,0,871,3.726982040944807
"Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka",1,1.0,26,102,3.1233870967741937
"Bard, Heimerdinger, Illaoi, Lulu, Nami, Ryze, Soraka, Sylas, TrainerDragon, Vladimir",1,1.0,0,871,3.726982040944807
"Heimerdinger, Illaoi, Lulu, Nami, Ornn, Qiyana, Talon, TrainerDragon, Twitch, Varus, Zoe",1,1.0,33,93,4.6217460317460315
"AoShin, Bard, DragonGold, DragonPurple, Olaf, Ornn, Sylas, Thresh",1,1.0,34,1,1.0
"AoShin, Bard, Ornn, Shen, Soraka, Yasuo, Zoe",1,1.0,1,172,2.2430460164835164
"Anivia, DragonGold, LeeSin, Nunu, Ornn, Sejuani, Volibear, Yasuo",1,1.0,35,1,1.0
"Bard, Illaoi, Ornn, Sejuani, Shen, Talon, Twitch, Varus, Xayah",1,1.0,5,425,3.5767944052854963
"Bard, Diana, Hecarim, Lillia, Nami, Nunu, Soraka, Yasuo, Zoe",1,1.0,36,1,1.0
"DragonPurple, Illaoi, Olaf, Ornn, Pyke, Qiyana, Shen, Sylas, Talon",1,1.0,37,76,4.6305555555555555
"AoShin, Bard, Lulu, Neeko, Ornn, Sylas, Yasuo, Zoe",1,1.0,1,172,2.2430460164835164
"Bard, Illaoi, Nami, Sejuani, Sylas, Talon, Twitch, Varus, Zoe",1,1.0,38,59,2.5778904665314397
"Bard, Illaoi, Nami, Ryze, Sejuani, Skarner, Talon, Twitch, Varus",1,1.0,5,425,3.5767944052854963
"AoShin, Bard, Hecarim, Leona, Nunu, Ornn, Yasuo",1,1.0,39,3,1.75
"Anivia, Karma, LeeSin, Neeko, Ornn, Sett, Swain, Volibear, Yasuo",1,1.0,40,41,4.868055555555555
"Braum, Diana, Hecarim, Lillia, Olaf, Ornn, Qiyana, Yasuo",1,1.0,2,557,4.2977522508390145
"Bard, Hecarim, Ornn, Qiyana, Ryze, Shen, Twitch, Xayah, Zoe",1,1.0,41,1,1.0
"Anivia, Karma, LeeSin, Neeko, Ornn, Swain, Volibear, Yasuo",1,1.0,40,41,4.868055555555555
"AoShin, Bard, Lulu, Neeko, Ornn, Pyke, Yasuo, Zoe",1,1.0,1,172,2.2430460164835164
"AoShin, Heimerdinger, Illaoi, Lulu, Nami, Ornn, Sylas, TrainerDragon, Vladimir, Zoe",1,1.0,3,761,4.723195717984592
"AoShin, Bard, Hecarim, Lillia, Ornn, Sylas, Yasuo, Zoe",1,1.0,1,172,2.2430460164835164
"Bard, Corki, Jinx, Lulu, Ornn, Sona, Soraka, TahmKench, TrainerDragon, Tristana",1,1.0,0,871,3.726982040944807
"Anivia, Karma, LeeSin, Nunu, Ornn, Sejuani, Volibear, Yasuo",1,1.0,42,2,2.5
"AoShin, Bard, Lulu, Neeko, Ornn, Sona, Soraka, Yasuo",1,1.0,43,1,1.0
"Corki, Hecarim, Lulu, Ornn, Xayah, Yasuo",1,1.0,44,1,1.0
"Bard, Illaoi, Nami, Twitch, Varus, Yasuo",1,1.0,5,425,3.5767944052854963
"Bard, DragonPurple, Nami, Ornn, Sylas, Twitch, Varus, Zoe",1,1.0,38,59,2.5778904665314397
"Braum, Diana, Hecarim, Lillia, Olaf, Ornn, Qiyana, Shen",1,1.0,2,557,4.2977522508390145
"AoShin, Bard, Gnar, Lulu, Neeko, Ornn, Sona, Soraka",1,1.0,45,7,2.5714285714285716
"AoShin, Bard, Gnar, Lulu, Neeko, Ornn, Qiyana, Shen",1,1.0,46,1,1.0
"Corki, DragonBlue, Jinx, Lulu, Ornn, Sona, TahmKench, TrainerDragon, Tristana",1,1.0,47,81,5.028442028985507
"Corki, DragonBlue, Jinx, Lulu, Ornn, Sona, TahmKench, Yasuo",1,1.0,48,23,3.6424242424242426
"AurelionSol, Heimerdinger, Lulu, Nami, Ryze, Sylas, TrainerDragon, Vladimir, Zoe",1,1.0,3,761,4.723195717984592
"Braum, Diana, Kayn, Olaf, Ornn, Qiyana, Soraka, Talon, Yasuo",1,1.0,49,1,1.0
"Corki, DragonBlue, Jinx, Lulu, Ornn, Qiyana, Sona, TahmKench",1,1.0,48,23,3.6424242424242426
"AoShin, Bard, Leona, Ornn, Soraka, Sylas, Yasuo, Zoe",1,1.0,1,172,2.2430460164835164
"Braum, Diana, Hecarim, Lillia, Olaf, Pyke, Sejuani, Sylas, Zoe",1,1.0,17,10,3.2777777777777777
"Ashe, Hecarim, Karma, LeeSin, Neeko, Sett, Shyvana, Soraka, Swain",1,1.0,50,223,4.612185976752906
"AoShin, Bard, Neeko, Ornn, Sylas, Talon, Yasuo",1,1.0,51,1,1.0
"Bard, Corki, DragonGold, Kayn, Lulu, Pyke, Thresh, Yasuo",1,1.0,52,1,1.0
"Bard, DragonPurple, Hecarim, Ornn, Pyke, Qiyana, Sejuani, Soraka",1,1.0,53,1,1.0
"DragonPurple, Illaoi, Ornn, Qiyana, Shen, Sylas, Twitch, Varus",1,1.0,54,109,4.494067796610169
"Bard, Corki, DragonGold, Kayn, Soraka, Volibear, Yasuo, Zoe",1,1.0,55,4,3.25
"AoShin, Bard, Nunu, Ornn, Sejuani, Shen, Soraka, Yasuo",1,1.0,56,1,1.0
"Corki, DragonBlue, Jinx, Pyke, Shen, Sona, TahmKench, Yasuo",1,1.0,57,5,4.111111111111112
"Bard, Heimerdinger, Lulu, Nami, Ornn, Ryze, Sona, Sylas, TrainerDragon, Vladimir, Zoe",1,1.0,0,871,3.726982040944807
"AoShin, Bard, Hecarim, Lillia, Lulu, Ornn, Sylas, Zoe",1,1.0,58,1,1.0
"Anivia, Ashe, Bard, DragonGreen, Karma, Neeko, Soraka, Yasuo",2,1.0,14,221,4.402861406270497
"Diana, DragonPurple, Ornn, Pyke, Qiyana, Shen, Talon, Yasuo",1,1.0,2,557,4.2977522508390145
"Bard, Illaoi, Nami, Sylas, Twitch, Varus",2,1.0,5,425,3.5767944052854963
"AoShin, Bard, Hecarim, Ornn, Soraka, Sylas, Yasuo, Zoe",1,1.0,22,2,1.0
"Heimerdinger, Lulu, Nami, Ornn, Qiyana, Ryze, Sona, Sylas, TrainerDragon, Vladimir",1,1.0,3,761,4.723195717984592
"AoShin, Bard, Hecarim, Ornn, Pyke, Sejuani, Shen, Talon",1,1.0,21,8,2.2142857142857144
"AoShin, Bard, Hecarim, LeeSin, Nami, Ornn, Qiyana, Shen",1,1.0,21,8,2.2142857142857144
"Bard, Illaoi, Shen, Skarner, Sylas, Twitch, Varus",1,1.0,5,425,3.5767944052854963
"Bard, Corki, Hecarim, Lulu, Nunu, Sejuani, Soraka, TrainerDragon, Tristana, Yasuo",1,1.0,59,1,1.0
"Bard, Illaoi, Shen, Soraka, Talon, Twitch, Varus, Yasuo",1,1.0,60,1,1.0
"Diana, DragonPurple, Ornn, Pyke, Qiyana, Shen, Sylas, Talon",2,1.0,2,557,4.2977522508390145
"Anivia, AoShin, Bard, Lulu, Neeko, Ornn, Sona, Zoe",1,1.0,61,1,1.0
"AoShin, Bard, Hecarim, LeeSin, Ornn, Qiyana, Sejuani, Yasuo",1,1.0,62,1,1.0
"Heimerdinger, Lulu, Nami, Ornn, Ryze, Sylas, TrainerDragon, Vladimir, Yasuo, Zoe",1,1.0,3,761,4.723195717984592
"Anivia, AoShin, Bard, Gnar, LeeSin, Neeko, Sona, Yasuo",1,1.0,63,1,1.0
"Bard, Diana, Olaf, Ornn, Qiyana, Shen, Sylas, Talon",2,1.0,31,33,3.144230769230769
"Bard, Heimerdinger, Lulu, Nami, Ornn, Ryze, Sylas, TrainerDragon, Vladimir, Zoe",1,1.0,0,871,3.726982040944807
"Bard, Illaoi, Olaf, Sejuani, Shen, Skarner, Talon, Twitch, Varus",1,1.0,64,1,1.0
"Bard, DragonPurple, Illaoi, Olaf, Ornn, Pyke, Shen, Sylas",1,1.0,24,76,3.0309523809523813
"Bard, Illaoi, Nami, Sylas, Varus, Zoe",1,1.0,4,53,3.6666666666666665
"Bard, Illaoi, Nami, Pyke, Sylas, Talon, Twitch, Varus, Zoe",1,1.0,38,59,2.5778904665314397
"Anivia, Ashe, Bard, DragonGreen, Karma, LeeSin, Neeko, Soraka",1,1.0,14,221,4.402861406270497
"Braum, Diana, Hecarim, Lillia, Olaf, Shen, Talon, Thresh",1,1.0,2,557,4.2977522508390145
"Bard, Illaoi, Nami, Ornn, Ryze, Twitch, Varus, Zoe",1,1.0,38,59,2.5778904665314397
"Bard, Corki, Jinx, Lulu, Nami, Ornn, Sona, Sylas, TrainerDragon, Tristana",1,1.0,0,871,3.726982040944807
"Diana, DragonPurple, Ornn, Pyke, Qiyana, Soraka, Talon, Yasuo",1,1.0,2,557,4.2977522508390145
"AoShin, Heimerdinger, Illaoi, Lulu, Ornn, Sylas, TrainerDragon, Zoe",1,1.0,3,761,4.723195717984592
"AoShin, Bard, Hecarim, Ornn, Sejuani, Shen, Talon, Yasuo",1,1.0,21,8,2.2142857142857144
"Bard, Illaoi, Nami, Pyke, Sylas, Twitch, Varus, Zoe",1,1.0,38,59,2.5778904665314397
"Corki, Diana, LeeSin, Neeko, Yasuo",1,1.0,65,1,1.0
"Bard, DragonPurple, Illaoi, Nami, Talon, Twitch, Varus",1,1.0,5,425,3.5767944052854963
"Bard, Lulu, Neeko, Nunu, Sejuani, Shyvana, Soraka, Yasuo",1,1.0,66,1,1.0
"Bard, Illaoi, Nami, Ornn, Qiyana, Soraka, Talon, Twitch, Varus",1,1.0,5,425,3.5767944052854963
"Bard, Illaoi, Nami, Ornn, Qiyana, Shen, Talon, Twitch, Varus",1,1.0,5,425,3.5767944052854963
"AoShin, Bard, Hecarim, Ornn, Ryze, Sejuani, Sylas, Yasuo, Zoe",1,1.0,1,172,2.2430460164835164
"Heimerdinger, Lulu, Neeko, Ryze, Soraka, TrainerDragon, Yasuo, Zoe",1,1.0,67,1,1.0
"AoShin, Bard, Hecarim, Ornn, Ryze, Sejuani, Sylas, Zoe",1,1.0,1,172,2.2430460164835164
"Bard, Illaoi, Nami, Ornn, Qiyana, Ryze, Talon, Twitch, Varus",1,1.0,5,425,3.5767944052854963
"AoShin, Heimerdinger, Illaoi, Lulu, Nami, Ornn, TrainerDragon, Tristana, Zoe",1,1.0,3,761,4.723195717984592
"Bard, Gnar, Neeko, Ornn, Pyke, Qiyana, Soraka, Yasuo",1,1.0,68,1,1.0
"Bard, Diana, Qiyana, Ryze, Sejuani, Shyvana, Talon, Twitch",1,1.0,69,2,2.5
"Bard, DragonBlue, DragonGold, DragonPurple, Thresh, Yasuo",1,1.0,70,1,1.0
"AoShin, Bard, Heimerdinger, Nami, Ornn, Ryze, Sylas, Zoe",1,1.0,1,172,2.2430460164835164
"AoShin, Bard, Heimerdinger, Nami, Ornn, Soraka, Sylas, Zoe",1,1.0,1,172,2.2430460164835164
"Braum, DragonBlue, Hecarim, Leona, Nunu, Soraka, Yasuo, Yone",1,1.0,71,22,4.461538461538462
"Bard, DragonBlue, LeeSin, Nunu, Ornn, Yasuo, Yone, Zoe",1,1.0,72,2,2.5
"Bard, DragonGold, Hecarim, Kayn, Pyke, Thresh, Twitch, Xayah",1,1.0,73,16,3.8
"AoShin, Bard, Heimerdinger, Nami, Ornn, Sylas, Yasuo, Zoe",1,1.0,1,172,2.2430460164835164
"Diana, Olaf, Ornn, Pyke, Qiyana, Talon, Twitch, Yasuo",1,1.0,74,1,1.0
"Anivia, Ashe, Karma, LeeSin, Neeko, Ornn, Swain, Volibear, Yasuo",1,1.0,40,41,4.868055555555555
"Bard, DragonBlue, Lulu, Nunu, Sejuani, Sona, Yasuo, Yone",1,1.0,75,146,3.3075163398692813
"Bard, Hecarim, Heimerdinger, Lillia, Nami, Ryze, Sylas, Vladimir, Zoe",1,1.0,4,53,3.6666666666666665
"Bard, DragonGold, Hecarim, Sejuani, Shen, Talon, Twitch, Xayah",1,1.0,73,16,3.8
"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Ryze, Sylas, TrainerDragon",1,1.0,76,51,3.477
"Bard, DragonBlue, DragonPurple, Lulu, Sylas, Yasuo",1,1.0,77,1,1.0
"Ashe, DragonPurple, Elise, Gnar, Neeko, Pyke, Sylas",1,1.0,78,55,4.871527777777778
"Braum, DragonBlue, Leona, Olaf, Shen, Talon, Yasuo, Yone",1,1.0,79,1,1.0
"Bard, Hecarim, Heimerdinger, Lillia, Lulu, Nami, Ryze, Sejuani, Soraka, TrainerDragon, Zoe",1,1.0,0,871,3.726982040944807
"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Soraka, Sylas, TrainerDragon, Zoe",1,1.0,80,210,2.4422464178578855
"Bard, DragonBlue, DragonGold, Hecarim, Nunu, Soraka, Yasuo",1,1.0,81,1,1.0
"Bard, DragonGold, Kayn, Shen, Talon, Twitch, Xayah, Yasuo",1,1.0,73,16,3.8
"Bard, DragonBlue, Hecarim, Lulu, Nami, Nunu, Yasuo, Yone",1,1.0,75,146,3.3075163398692813
"AoShin, Bard, Lulu, Nami, Neeko, Ornn, Sylas, Yasuo, Zoe",1,1.0,1,172,2.2430460164835164
"Ezreal, Illaoi, Lulu, Nami, Ornn, Shen, Twitch, Varus, Xayah",1,1.0,82,3,3.0
"Bard, DragonGold, Kayn, Pyke, Soraka, Thresh, Volibear, Yasuo, Zoe",1,1.0,55,4,3.25
"Ashe, Heimerdinger, Illaoi, Lulu, Nami, Ryze, Sona, Sylas, TrainerDragon, Vladimir, Zoe",1,1.0,83,1,1.0
"Diana, Hecarim, Illaoi, Olaf, Ornn, Qiyana, Shen, Talon",1,1.0,2,557,4.2977522508390145
"Ezreal, Illaoi, Ornn, Pyke, Shen, Sylas, Twitch, Varus, Xayah",1,1.0,84,76,3.9501142285999857
"AoShin, Bard, Heimerdinger, Illaoi, Lulu, Ornn, Sylas, TrainerDragon, Zoe",1,1.0,80,210,2.4422464178578855
"Bard, DragonGold, Kayn, Pyke, Talon, Thresh, Twitch, Zoe",1,1.0,85,1,1.0
"AoShin, Bard, Heimerdinger, Illaoi, Lulu, Nami, Sylas, TrainerDragon, Yasuo",1,1.0,76,51,3.477
"Bard, DragonBlue, Hecarim, Lulu, Nunu, Sona, Soraka, Yasuo",1,1.0,75,146,3.3075163398692813
"AoShin, Heimerdinger, Lulu, Ornn, Ryze, Sona, Sylas, TrainerDragon, Zoe",1,1.0,3,761,4.723195717984592
"Ashe, Elise, Gnar, Karma, LeeSin, Neeko, Pyke, Soraka, Swain, Volibear",1,1.0,78,55,4.871527777777778
"Bard, DragonBlue, Lillia, Nami, Nunu, Sejuani, Zoe",1,1.0,86,1,1.0
