unit,items,value_count,average_placement
TFT7_Aatrox,"None, None, None",6769,4.5
TFT7_Anivia,"ArchangelsStaff, MadredsBloodrazor, Morellonomicon",14,2.86
TFT7_Anivia,"ArchangelsStaff, Morellonomicon, StatikkShiv",14,3.0
TFT7_Anivia,"ArchangelsStaff, HextechGunblade, Morellonomicon",21,3.43
TFT7_Anivia,"ArchangelsStaff, Morellonomicon, SpearOfShojin",28,3.61
TFT7_Anivia,"Morellonomicon, None, SpearOfShojin",13,3.69
TFT7_AoShin,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",19,3.89
TFT7_AoShin,"ArchangelsStaff, ArchangelsStaff, SpearOfShojin",12,3.92
TFT7_AoShin,"InfinityEdge, JeweledGauntlet, SpearOfShojin",13,3.92
TFT7_AoShin,"ArchangelsStaff, MageEmblemItem, SpearOfShojin",23,4.35
TFT7_AoShin,"ArchangelsStaff, HextechGunblade, SpearOfShojin",32,4.44
TFT7_Ashe,"None, None, StatikkShiv",28,4.0
TFT7_Ashe,"None, None, None",6551,4.5
TFT7_AurelionSol,"ArchangelsStaff, ArchangelsStaff, HextechGunblade",17,1.76
TFT7_AurelionSol,"ArchangelsStaff, Bloodthirster, JeweledGauntlet",13,2.38
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, Morellonomicon",23,2.52
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, MageEmblemItem",34,2.68
TFT7_AurelionSol,"ArchangelsStaff, ArchangelsStaff, UnstableConcoction",12,2.75
TFT7_Bard,"None, None, Shroud",38,2.74
TFT7_Bard,"LocketOfTheIronSolari, None, None",14,2.79
TFT7_Bard,"None, None, PowerGauntlet",23,2.91
TFT7_Bard,"None, None, Zephyr",36,2.92
TFT7_Bard,"GiantsBelt, None, None",15,3.07
TFT7_Braum,"None, None, Zephyr",14,3.79
TFT7_Braum,"None, None, None",6424,4.48
TFT7_Braum,"None, None, WarmogsArmor",18,4.56
TFT7_Braum,"None, None, TitanicHydra",16,5.19
TFT7_Corki,"GuinsoosRageblade, MadredsBloodrazor, UnstableConcoction",46,3.72
TFT7_Corki,"InfinityEdge, LastWhisper, MadredsBloodrazor",13,3.85
TFT7_Corki,"GuinsoosRageblade, InfinityEdge, UnstableConcoction",36,4.0
TFT7_Corki,"InfinityEdge, MadredsBloodrazor, UnstableConcoction",21,4.14
TFT7_Corki,"GuinsoosRageblade, InfinityEdge, LastWhisper",22,4.18
TFT7_Diana,"FrozenHeart, IonicSpark, RedBuff",27,3.96
TFT7_Diana,"None, None, None",6387,4.46
TFT7_Diana,"FrozenHeart, None, None",19,6.0
TFT7_DragonBlue,"GuinsoosRageblade, Quicksilver, RevelEmblemItem",15,3.47
TFT7_DragonBlue,"ArchangelsStaff, GuinsoosRageblade, MadredsBloodrazor",16,3.69
TFT7_DragonBlue,"GuinsoosRageblade, MadredsBloodrazor, Quicksilver",13,3.92
TFT7_DragonBlue,"None, None, None",6244,4.51
TFT7_DragonGold,"DragonsClaw, GargoyleStoneplate, RedBuff",15,3.8
TFT7_DragonGold,"GargoyleStoneplate, ShimmerscaleMogulsMail, WarmogsArmor",17,3.82
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, WarmogsArmor",30,3.9
TFT7_DragonGold,"GargoyleStoneplate, GargoyleStoneplate, RedBuff",16,4.06
TFT7_DragonGold,"DragonsClaw, GargoyleStoneplate, WarmogsArmor",17,4.06
TFT7_DragonGreen,"GuardianAngel, TitansResolve, UnstableConcoction",16,2.69
TFT7_DragonGreen,"Bloodthirster, GuardianAngel, InfinityEdge",16,2.81
TFT7_DragonGreen,"Bloodthirster, GuardianAngel, MadredsBloodrazor",30,2.83
TFT7_DragonGreen,"Bloodthirster, MadredsBloodrazor, UnstableConcoction",12,3.33
TFT7_DragonGreen,"Bloodthirster, OrnnInfinityForce, TitansResolve",13,3.46
TFT7_DragonPurple,"Bloodthirster, Quicksilver, TitansResolve",18,3.78
TFT7_DragonPurple,"Bloodthirster, InfinityEdge, TitansResolve",15,4.47
