,0
TFT7_Zoe_item0_TFT7_Item_EvokerEmblemItem,0.0
TFT7_LeeSin_item0_TFT_Item_PowerGauntlet,0.0
TFT7_LeeSin_item0_TFT_Item_NegatronCloak,0.0
TFT7_LeeSin_item0_TFT_Item_NeedlesslyLargeRod,0.0
TFT7_LeeSin_item0_TFT_Item_Morellonomicon,0.0
TFT7_LeeSin_item0_TFT_Item_MadredsBloodrazor,0.0
TFT7_LeeSin_item0_TFT_Item_LocketOfTheIronSolari,0.0
TFT7_LeeSin_item0_TFT_Item_JeweledGauntlet,0.0
TFT7_LeeSin_item0_TFT_Item_IonicSpark,0.0
TFT7_LeeSin_item0_TFT_Item_InfinityEdge,0.0
TFT7_LeeSin_item0_TFT_Item_HextechGunblade,0.0
TFT7_LeeSin_item0_TFT_Item_GuinsoosRageblade,0.0
TFT7_LeeSin_item0_TFT_Item_GuardianAngel,0.0
TFT7_LeeSin_item0_TFT_Item_GiantsBelt,0.0
TFT7_LeeSin_item0_TFT_Item_GargoyleStoneplate,0.0
TFT7_LeeSin_item0_TFT_Item_FrozenHeart,0.0
TFT7_LeeSin_item0_TFT_Item_DragonsClaw,0.0
TFT7_LeeSin_item0_TFT_Item_Deathblade,0.0
TFT7_LeeSin_item0_TFT_Item_Chalice,0.0
TFT7_LeeSin_item0_TFT_Item_ChainVest,0.0
TFT7_LeeSin_item0_TFT_Item_BrambleVest,0.0
TFT7_LeeSin_item0_TFT_Item_Bloodthirster,0.0
TFT7_LeeSin_item0_TFT_Item_ArchangelsStaff,0.0
TFT7_LeeSin_item0_TFT7_Item_SwiftshotEmblemItem,0.0
TFT7_LeeSin_item0_TFT_Item_Quicksilver,0.0
TFT7_LeeSin_item0_TFT_Item_RabadonsDeathcap,0.0
TFT7_LeeSin_item0_TFT_Item_RapidFireCannon,0.0
TFT7_LeeSin_item0_TFT_Item_RecurveBow,0.0
TFT7_LeeSin_item1_TFT_Item_ArchangelsStaff,0.0
TFT7_LeeSin_item1_TFT7_Item_ShimmerscaleDiamondHands,0.0
TFT7_LeeSin_item1_TFT7_Item_MageEmblemItem,0.0
TFT7_LeeSin_item1_TFT7_Item_GuardianEmblemItem,0.0
TFT7_LeeSin_item1_TFT7_Item_CavalierEmblemItem,0.0
TFT7_LeeSin_item1_TFT7_Item_AssassinEmblemItem,0.0
TFT7_LeeSin_item1_TFT4_Item_OrnnZhonyasParadox,0.0
TFT7_LeeSin_item1_TFT4_Item_OrnnObsidianCleaver,0.0
TFT7_LeeSin_item1_None,0.0
TFT7_LeeSin_item0_TFT_Item_Zephyr,0.0
TFT7_LeeSin_item0_TFT_Item_ZekesHerald,0.0
TFT7_LeeSin_item0_TFT7_Item_ShimmerscaleGoldmancersStaff,0.0
TFT7_LeeSin_item0_TFT_Item_WarmogsArmor,0.0
TFT7_LeeSin_item0_TFT_Item_TitansResolve,0.0
TFT7_LeeSin_item0_TFT_Item_TitanicHydra,0.0
TFT7_LeeSin_item0_TFT_Item_ThiefsGloves,0.0
TFT7_LeeSin_item0_TFT_Item_TearOfTheGoddess,0.0
TFT7_LeeSin_item0_TFT_Item_SpearOfShojin,0.0
TFT7_LeeSin_item0_TFT_Item_SparringGloves,0.0
TFT7_LeeSin_item0_TFT_Item_Shroud,0.0
TFT7_LeeSin_item0_TFT_Item_SeraphsEmbrace,0.0
TFT7_LeeSin_item0_TFT_Item_RunaansHurricane,0.0
TFT7_LeeSin_item0_TFT_Item_Redemption,0.0
