comp,value_count,average_placement,group,grp_count,grp_placement
"Aatrox, DragonGold, Kayn, Leona, Nami, Volibear, Zoe",1,1.0,22,1,1.0
"Aatrox, DragonGold, Kayn, Soraka, Volibear, Xayah, Yasuo, Zoe",2,1.0,21,38,4.698924731182795
"Bard, DragonBlue, Hecarim, LeeSin, Nunu, Ornn, Sejuani, Talon",1,1.0,2,467,3.2486683455433454
"DragonPurple, Kayn, Ornn, Shen, Talon, Twitch, Xayah, Yasuo",1,1.0,23,1,1.0
"Bard, Heimerdinger, Lulu, Ornn, Pyke, Soraka, Sylas, Talon, TrainerDragon, Zoe",1,1.0,24,867,3.743362768820652
"DragonPurple, Kayn, Ryze, Soraka, Sylas, Talon, Yasuo, Zoe",1,1.0,25,1,1.0
"Bard, DragonBlue, Hecarim, Lulu, Nunu, Sejuani, Soraka, Yasuo",1,1.0,2,467,3.2486683455433454
"Bard, DragonBlue, Hecarim, Lulu, Nunu, Sejuani, Soraka, Yasuo, Yone",1,1.0,2,467,3.2486683455433454
"Bard, Heimerdinger, Lulu, Sona, Sylas, TahmKench, TrainerDragon, Tristana, Yasuo, Zoe",1,1.0,24,867,3.743362768820652
"Bard, DragonBlue, Hecarim, Lulu, Nunu, Sejuani, Sona, Yasuo",1,1.0,2,467,3.2486683455433454
"Bard, Heimerdinger, Lulu, Nami, Ornn, Ryze, Sylas, TrainerDragon, Tristana, Zoe",1,1.0,24,867,3.743362768820652
"Corki, DragonPurple, Gnar, Neeko, Ornn, Pyke, Qiyana, Sylas",1,1.0,26,1,1.0
"Bard, Heimerdinger, Lulu, Nami, Ornn, Ryze, Sejuani, Sylas, TrainerDragon, Zoe",1,1.0,24,867,3.743362768820652
"DragonPurple, Hecarim, Ornn, Pyke, Sejuani, Soraka, Talon, Yasuo",1,1.0,27,1,1.0
"Aatrox, Braum, Diana, Lillia, Olaf, Shen, Yasuo, Yone",2,1.0,28,5,5.75
"Corki, DragonPurple, Jinx, Lulu, Ornn, Sylas, TahmKench, TrainerDragon, Tristana, Yasuo",1,1.0,29,150,5.148339598997493
"Corki, DragonPurple, Heimerdinger, Jinx, Lulu, Sona, Sylas, TrainerDragon, Tristana, Zoe",1,1.0,30,58,3.3315192743764173
"Bard, DragonBlue, Lillia, Nunu, Soraka, Yasuo, Yone, Zoe",1,1.0,31,1,1.0
"Bard, Pyke, Ryze, Sejuani, Sylas, Talon, Twitch, Yasuo, Zoe",1,1.0,32,35,3.3407407407407406
"Corki, Heimerdinger, Illaoi, Lulu, Nami, Sona, Sylas, TrainerDragon, Vladimir, Zoe",1,1.0,33,2,2.0
"Aatrox, DragonGold, Kayn, Lulu, Pyke, Soraka, Yasuo, Zoe",1,1.0,21,38,4.698924731182795
"Bard, DragonBlue, Hecarim, Leona, Lulu, Nunu, Sejuani, Twitch, Yasuo",1,1.0,1,619,3.6336631961532624
"Bard, DragonBlue, Hecarim, Leona, Nunu, Talon, Twitch, Yasuo",1,1.0,1,619,3.6336631961532624
"Bard, DragonPurple, Nunu, Pyke, Soraka, Sylas, Thresh, Yasuo",1,1.0,2,467,3.2486683455433454
"Bard, DragonPurple, Nunu, Pyke, Sejuani, Sylas, Talon, Yasuo",1,1.0,34,1,1.0
"Bard, DragonBlue, Hecarim, Leona, Nunu, Sejuani, Talon, Yone",1,1.0,2,467,3.2486683455433454
