unit,items,value_count,average_placement
TFT7_AoShin,"Bloodthirster, DragonmancerEmblemItem, UnstableConcoction",85,2.59
TFT7_AoShin,"ArchangelsStaff, MadredsBloodrazor, SpearOfShojin",26,3.35
TFT7_AoShin,"ArchangelsStaff, SpearOfShojin, UnstableConcoction",23,3.78
TFT7_AoShin,"Bloodthirster, DragonmancerEmblemItem, JeweledGauntlet",24,3.83
TFT7_AoShin,"ArchangelsStaff, HextechGunblade, SpearOfShojin",25,3.92
TFT7_Aphelios,"LastWhisper, None, RunaansHurricane",20,2.1
TFT7_Aphelios,"InfinityEdge, LastWhisper, None",17,2.53
TFT7_Aphelios,"LastWhisper, RapidFireCannon, ZekesHerald",16,2.69
TFT7_Aphelios,"GuinsoosRageblade, LastWhisper, None",13,2.77
TFT7_Aphelios,"LastWhisper, StatikkShiv, ZekesHerald",15,3.53
TFT7_AquaticDragon,"Morellonomicon, RabadonsDeathcap, SeraphsEmbrace",53,3.85
TFT7_AquaticDragon,"JeweledGauntlet, RabadonsDeathcap, SeraphsEmbrace",20,3.85
TFT7_AquaticDragon,"HextechGunblade, Morellonomicon, SeraphsEmbrace",44,4.02
TFT7_AquaticDragon,"JeweledGauntlet, Morellonomicon, SeraphsEmbrace",97,4.05
TFT7_AquaticDragon,"MadredsBloodrazor, Morellonomicon, SeraphsEmbrace",33,4.18
TFT7_AurelionSol,"None, None, None",13861,4.5
TFT7_Bard,"DragonmancerEmblemItem, None, None",36,2.44
TFT7_Bard,"GuinsoosRageblade, None, None",21,2.86
TFT7_Bard,"None, None, RunaansHurricane",15,3.0
TFT7_Bard,"ForceOfNature, None, None",16,3.0
TFT7_Bard,"None, None, Shroud",55,3.13
TFT7_Braum,"None, None, Shroud",14,3.36
TFT7_Braum,"FrozenHeart, None, None",32,3.41
TFT7_Braum,"GargoyleStoneplate, None, None",16,3.94
TFT7_Braum,"None, None, TitanicHydra",29,4.14
TFT7_Braum,"None, None, RedBuff",23,4.3
TFT7_Diana,"None, None, ZekesHerald",30,4.33
TFT7_Diana,"None, None, None",13387,4.52
TFT7_Diana,"None, None, RedBuff",21,5.19
TFT7_Diana,"None, None, WarriorEmblemItem",12,5.33
TFT7_Diana,"IonicSpark, None, None",27,5.81
TFT7_DragonBlue,"ArchangelsStaff, ArchangelsStaff, GuinsoosRageblade",12,3.0
TFT7_DragonBlue,"ArchangelsStaff, MadredsBloodrazor, StatikkShiv",18,3.22
TFT7_DragonBlue,"ArchangelsStaff, JeweledGauntlet, StatikkShiv",12,3.33
TFT7_DragonBlue,"ArchangelsStaff, GuinsoosRageblade, RabadonsDeathcap",14,3.5
TFT7_DragonBlue,"ArchangelsStaff, HextechGunblade, StatikkShiv",13,3.62
TFT7_DragonEarth,"FrozenHeart, None, None",14,3.64
TFT7_DragonEarth,"GargoyleStoneplate, RedBuff, WarmogsArmor",14,3.86
TFT7_DragonEarth,"DragonsClaw, GargoyleStoneplate, WarmogsArmor",14,4.0
TFT7_DragonEarth,"None, None, RedBuff",17,4.29
TFT7_DragonEarth,"None, None, TitanicHydra",14,4.57
TFT7_DragonGold,"FrozenHeart, GargoyleStoneplate, RedBuff",23,3.61
TFT7_DragonGold,"DragonsClaw, RedBuff, WarmogsArmor",12,3.67
TFT7_DragonGold,"BrambleVest, DragonsClaw, WarmogsArmor",12,3.75
TFT7_DragonGold,"GargoyleStoneplate, ShimmerscaleMogulsMail, WarmogsArmor",17,3.82
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, WarmogsArmor",37,3.84
TFT7_DragonGreen,"None, None, None",13966,4.5
TFT7_DragonGuild,"None, None, None",13677,4.48
TFT7_DragonGuild,"None, None, RedBuff",20,5.3
TFT7_DragonPurple,"None, None, None",13610,4.49
TFT7_DragonPurple,"Bloodthirster, InfinityEdge, TitansResolve",14,5.14
TFT7_DragonSwain,"None, None, None",13871,4.5
TFT7_Ezreal,"None, None, None",14081,4.5
TFT7_Gnar,"None, None, None",14044,4.5
TFT7_Graves,"Bloodthirster, LastWhisper, Quicksilver",12,2.75
TFT7_Graves,"GuardianAngel, InfinityEdge, UnstableConcoction",20,3.2
TFT7_Graves,"Bloodthirster, GuardianAngel, InfinityEdge",20,3.4
TFT7_Graves,"Bloodthirster, GuardianAngel, UnstableConcoction",27,3.48
TFT7_Graves,"Bloodthirster, TitansResolve, UnstableConcoction",22,3.77
TFT7_Hecarim,"FrozenHeart, FrozenHeart, RedBuff",15,2.53
TFT7_Hecarim,"FrozenHeart, FrozenHeart, GargoyleStoneplate",14,2.57
TFT7_Hecarim,"DragonmancerEmblemItem, FrozenHeart, None",14,2.57
TFT7_Hecarim,"FrozenHeart, Morellonomicon, Shroud",12,2.58
TFT7_Hecarim,"FrozenHeart, FrozenHeart, TitanicHydra",16,2.94
TFT7_Jax,"None, None, RedBuff",16,4.31
TFT7_Jax,"None, None, None",13903,4.5
TFT7_Jax,"FrozenHeart, None, None",12,5.83
TFT7_Jayce,"EmptyBag, EmptyBag, ThiefsGloves",17,1.0
TFT7_Jayce,"None, None, Shroud",16,3.56
TFT7_Jayce,"GargoyleStoneplate, RedBuff, WarmogsArmor",27,3.63
TFT7_Jayce,"FrozenHeart, GargoyleStoneplate, RedBuff",12,3.75
TFT7_Jayce,"Chalice, None, None",18,3.94
TFT7_Kaisa,"Morellonomicon, None, None",37,3.46
TFT7_Kaisa,"None, None, Shroud",18,3.5
TFT7_Kaisa,"None, None, StatikkShiv",52,3.79
TFT7_Kaisa,"GuinsoosRageblade, None, StatikkShiv",14,4.29
TFT7_Kaisa,"None, None, Zephyr",22,4.41
TFT7_Karma,"None, None, Zephyr",37,3.46
TFT7_Karma,"None, None, Shroud",28,3.46
TFT7_Karma,"None, None, StatikkShiv",18,3.61
TFT7_Karma,"None, None, None",13925,4.51
TFT7_LeeSin,"None, None, Shroud",18,3.5
TFT7_LeeSin,"None, None, Zephyr",15,4.0
TFT7_LeeSin,"Bloodthirster, InfinityEdge, JeweledGauntlet",26,4.0
TFT7_LeeSin,"None, None, TitanicHydra",31,4.13
TFT7_LeeSin,"None, None, ZekesHerald",13,4.15
TFT7_Leona,"None, None, ZekesHerald",18,3.78
TFT7_Leona,"None, None, Shroud",33,3.97
TFT7_Leona,"None, None, TitanicHydra",50,4.5
TFT7_Leona,"None, None, None",13541,4.5
TFT7_Leona,"FrozenHeart, None, None",26,4.69
TFT7_Lillia,"None, None, Zephyr",24,3.33
TFT7_Lillia,"NeedlesslyLargeRod, None, None",14,4.0
TFT7_Lillia,"None, None, Shroud",13,4.15
TFT7_Lillia,"MirageEmblemItem, None, None",15,4.4
TFT7_Lillia,"Chalice, None, None",12,4.42
TFT7_Lux,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",19,4.26
TFT7_Lux,"None, None, None",13758,4.48
TFT7_Lux,"ArchangelsStaff, InfinityEdge, JeweledGauntlet",17,4.82
TFT7_Lux,"InfinityEdge, JeweledGauntlet, SpearOfShojin",16,5.44
TFT7_Malphite,"None, TitanicHydra, Zephyr",12,2.42
TFT7_Malphite,"None, None, Zephyr",20,2.95
TFT7_Malphite,"FrozenHeart, None, TitanicHydra",13,3.69
TFT7_Malphite,"GargoyleStoneplate, None, None",14,4.07
TFT7_Malphite,"None, TitanicHydra, TitanicHydra",33,4.39
TFT7_Nasus,"None, None, None",14048,4.5
TFT7_Nidalee,"None, None, None",13907,4.5
TFT7_Nilah,"Bloodthirster, InfinityEdge, LastWhisper",15,3.6
TFT7_Nilah,"Bloodthirster, GuardianAngel, MadredsBloodrazor",16,3.88
TFT7_Nilah,"Bloodthirster, InfinityEdge, MadredsBloodrazor",13,3.92
TFT7_Nilah,"Bloodthirster, InfinityEdge, UnstableConcoction",14,4.07
TFT7_Nilah,"Bloodthirster, GuardianAngel, InfinityEdge",20,4.1
TFT7_NomsyCannoneer,"None, None, None",13684,4.52
TFT7_NomsyEvoker,"None, None, None",13994,4.49
TFT7_NomsyMage,"None, None, None",13969,4.49
TFT7_NomsyMage,"InfinityEdge, JeweledGauntlet, SpearOfShojin",16,5.19
TFT7_Nunu,"Bloodthirster, DragonmancerEmblemItem, OrnnAnimaVisage",14,2.79
TFT7_Nunu,"IonicSpark, RedBuff, WarmogsArmor",18,3.28
TFT7_Nunu,"Bloodthirster, DragonmancerEmblemItem, HextechGunblade",31,3.58
TFT7_Nunu,"IonicSpark, RedBuff, Redemption",13,3.69
TFT7_Nunu,"Bloodthirster, DragonmancerEmblemItem, UnstableConcoction",389,3.79
TFT7_Olaf,"Bloodthirster, RapidFireCannon, RunaansHurricane",13,2.62
TFT7_Olaf,"MadredsBloodrazor, RunaansHurricane, UnstableConcoction",19,3.58
TFT7_Olaf,"InfinityEdge, RapidFireCannon, RunaansHurricane",14,3.71
TFT7_Olaf,"Bloodthirster, InfinityEdge, RapidFireCannon",13,3.85
TFT7_Olaf,"Bloodthirster, MadredsBloodrazor, RapidFireCannon",14,3.86
TFT7_Pantheon,"None, None, ScalescornEmblemItem",17,4.12
TFT7_Pantheon,"Bloodthirster, TitansResolve, UnstableConcoction",26,4.31
TFT7_Pantheon,"None, None, UnstableConcoction",13,4.46
TFT7_Pantheon,"None, None, None",12470,4.51
TFT7_Pantheon,"FrozenHeart, None, None",56,4.55
TFT7_Qiyana,"None, None, Shroud",14,2.64
TFT7_Qiyana,"None, None, Zephyr",16,3.62
TFT7_Qiyana,"DragonmancerEmblemItem, None, None",16,4.19
TFT7_Qiyana,"None, None, ZekesHerald",125,4.3
TFT7_Qiyana,"None, None, None",13721,4.51
TFT7_Rakan,"None, None, WarmogsArmor",15,2.73
TFT7_Rakan,"GiantsBelt, None, None",35,3.37
TFT7_Rakan,"None, None, Zephyr",68,3.5
TFT7_Rakan,"None, None, Shroud",85,3.68
TFT7_Rakan,"BFSword, None, None",13,3.69
TFT7_Rell,"GargoyleStoneplate, RedBuff, ZekesHerald",12,2.75
TFT7_Rell,"None, Shroud, ZekesHerald",34,3.15
TFT7_Rell,"None, None, Shroud",13,3.23
TFT7_Rell,"Chalice, None, ZekesHerald",22,3.32
TFT7_Rell,"FrozenHeart, ZekesHerald, ZekesHerald",12,3.42
TFT7_Rengar,"ZekesHerald, ZekesHerald, ZekesHerald",13,3.38
TFT7_Rengar,"CannoneerEmblemItem, UnstableConcoction, ZekesHerald",16,3.75
TFT7_Rengar,"CannoneerEmblemItem, CavalierEmblemItem, ZekesHerald",14,3.86
TFT7_Rengar,"CannoneerEmblemItem, InfinityEdge, ZekesHerald",17,3.94
TFT7_Rengar,"None, PowerGauntlet, ZekesHerald",12,4.0
TFT7_Sejuani,"DragonmancerEmblemItem, None, None",87,3.48
TFT7_Sejuani,"ForceOfNature, None, None",21,3.57
TFT7_Sejuani,"None, None, Shroud",83,3.61
TFT7_Sejuani,"Chalice, None, None",17,3.76
TFT7_Sejuani,"None, None, Redemption",17,4.0
TFT7_Senna,"DarkflightEmblemItem, None, ZekesHerald",14,3.79
TFT7_Senna,"None, None, ZekesHerald",1592,4.32
TFT7_Senna,"None, None, None",12400,4.52
TFT7_Senna,"FrozenHeart, None, None",12,4.83
TFT7_Seraphine,"EmptyBag, EmptyBag, ThiefsGloves",12,1.08
TFT7_Seraphine,"None, None, Shroud",21,3.24
TFT7_Seraphine,"ArchangelsStaff, Morellonomicon, RabadonsDeathcap",12,3.25
TFT7_Seraphine,"None, None, Redemption",18,3.39
TFT7_Seraphine,"None, None, PowerGauntlet",17,3.65
TFT7_Sett,"None, None, Zephyr",35,3.51
TFT7_Sett,"None, None, Shroud",32,3.53
TFT7_Sett,"None, None, TitanicHydra",64,4.05
TFT7_Sett,"FrozenHeart, None, None",16,4.19
TFT7_Sett,"None, None, None",13748,4.51
TFT7_Shyvana,"EmptyBag, EmptyBag, ThiefsGloves",16,1.06
TFT7_Shyvana,"IonicSpark, JeweledGauntlet, Morellonomicon",15,2.53
TFT7_Shyvana,"InfinityEdge, JeweledGauntlet, UnstableConcoction",13,2.69
TFT7_Shyvana,"ArchangelsStaff, IonicSpark, Morellonomicon",22,3.18
TFT7_Shyvana,"InfinityEdge, JeweledGauntlet, RabadonsDeathcap",13,3.31
TFT7_Skarner,"None, None, Shroud",12,4.0
TFT7_Skarner,"None, None, None",13840,4.49
TFT7_Skarner,"None, None, TitanicHydra",26,4.73
TFT7_Skarner,"None, None, RedBuff",15,5.6
TFT7_Skarner,"MageEmblemItem, None, None",16,5.81
TFT7_Soraka,"DragonmancerEmblemItem, None, None",38,3.0
TFT7_Soraka,"None, None, RabadonsDeathcap",22,3.14
TFT7_Soraka,"None, None, Shroud",21,3.48
TFT7_Soraka,"ArchangelsStaff, None, None",39,3.49
TFT7_Soraka,"NeedlesslyLargeRod, None, None",26,3.65
TFT7_Sylas,"FrozenHeart, None, RedBuff",12,2.67
TFT7_Sylas,"GargoyleStoneplate, LagoonEmblemItem, WarmogsArmor",18,3.39
TFT7_Sylas,"None, None, Shroud",23,4.09
TFT7_Sylas,"GargoyleStoneplate, IonicSpark, RedBuff",15,4.2
TFT7_Sylas,"None, None, PowerGauntlet",13,4.31
TFT7_Taliyah,"None, None, Shroud",16,3.31
TFT7_Taliyah,"None, None, Zephyr",18,3.89
TFT7_Taliyah,"None, None, None",13894,4.51
TFT7_Taliyah,"Chalice, None, None",12,5.0
TFT7_Taliyah,"None, None, StatikkShiv",26,5.12
TFT7_Twitch,"MadredsBloodrazor, None, None",13,2.69
TFT7_Twitch,"LastWhisper, None, ZekesHerald",13,3.31
TFT7_Twitch,"InfinityEdge, None, None",28,3.64
TFT7_Twitch,"None, None, Zephyr",62,3.66
TFT7_Twitch,"None, StatikkShiv, ZekesHerald",19,3.74
TFT7_Varus,"None, None, None",13773,4.49
TFT7_Varus,"None, None, StatikkShiv",12,4.67
TFT7_Varus,"GuinsoosRageblade, None, None",12,5.33
TFT7_Vladimir,"None, None, None",13829,4.49
TFT7_Vladimir,"None, None, TitanicHydra",21,6.24
TFT7_Wukong,"None, None, None",14108,4.5
TFT7_Xayah,"GuardianAngel, GuinsoosRageblade, LastWhisper",16,3.38
TFT7_Xayah,"GuinsoosRageblade, MadredsBloodrazor, RunaansHurricaneRadiant",18,3.56
TFT7_Xayah,"InfinityEdge, LastWhisper, RunaansHurricane",31,3.74
TFT7_Xayah,"InfinityEdge, LastWhisper, UnstableConcoction",12,3.75
TFT7_Xayah,"GuinsoosRageblade, InfinityEdgeRadiant, MadredsBloodrazor",12,3.83
TFT7_Yasuo,"Bloodthirster, CavalierEmblemItem, TitansResolve",12,3.17
TFT7_Yasuo,"HextechGunblade, None, None",18,3.28
TFT7_Yasuo,"InfinityEdge, None, None",14,3.29
TFT7_Yasuo,"GuardianAngel, None, SeraphsEmbrace",14,3.5
TFT7_Yasuo,"LastWhisper, None, None",15,3.53
TFT7_Yone,"Chalice, None, ZekesHerald",12,3.0
TFT7_Yone,"Chalice, None, None",13,3.85
TFT7_Yone,"None, None, Zephyr",24,3.88
TFT7_Yone,"None, None, Shroud",16,4.12
TFT7_Yone,"None, None, StatikkShiv",13,4.38
TFT7_Zac,"FrozenHeart, GargoyleStoneplate, None",14,4.0
TFT7_Zac,"FrozenHeart, None, TitanicHydra",21,4.19
TFT7_Zac,"None, None, None",13669,4.49
TFT7_Zac,"FrozenHeart, None, None",122,4.8
TFT7_Zac,"FrozenHeart, FrozenHeart, None",24,4.83
TFT7_Zeri,"None, None, Zephyr",29,3.45
TFT7_Zeri,"None, None, RecurveBow",23,3.83
TFT7_Zeri,"ZekesHerald, ZekesHerald, ZekesHerald",12,4.0
TFT7_Zeri,"BFSword, None, None",14,4.07
TFT7_Zeri,"None, ZekesHerald, ZekesHerald",35,4.14
TFT7_Zoe,"GuardianAngel, None, None",12,2.92
TFT7_Zoe,"ArchangelsStaff, None, None",12,3.17
TFT7_Zoe,"None, None, Zephyr",14,3.5
TFT7_Zoe,"None, None, PowerGauntlet",14,4.21
TFT7_Zoe,"None, None, StatikkShiv",34,4.29
TFT7_Zyra,"GuinsoosRageblade, GuinsoosRageblade, RunaansHurricane",19,3.21
TFT7_Zyra,"Morellonomicon, None, None",23,3.91
TFT7_Zyra,"None, None, Zephyr",17,4.29
TFT7_Zyra,"None, None, SpearOfShojin",21,4.38
TFT7_Zyra,"JeweledGauntlet, None, None",16,4.5
TFT7b_Heimerdinger,"None, None, None",14168,4.5
TFT7b_Lulu,"None, None, None",14168,4.5
TFT7b_Tristana,"None, None, None",14168,4.5
TFT7b_Volibear,"None, None, Zephyr",15,3.6
TFT7b_Volibear,"None, None, PowerGauntlet",15,3.87
TFT7b_Volibear,"None, None, Shroud",22,3.95
TFT7b_Volibear,"None, None, TitanicHydra",38,4.32
TFT7b_Volibear,"FrozenHeart, None, None",21,4.38
