unit,items,value_count,average_placement
TFT7_Aatrox,"None, None, Shroud",12,2.58
TFT7_Aatrox,"None, None, None",26161,4.49
TFT7_Aatrox,"None, None, Zephyr",12,4.92
TFT7_Aatrox,"None, None, TitanicHydra",12,4.92
TFT7_Aatrox,"None, None, ShimmerscaleDeterminedInvestor",15,7.2
TFT7_Anivia,"MadredsBloodrazor, Morellonomicon, StatikkShiv",12,2.67
TFT7_Anivia,"JeweledGauntlet, Morellonomicon, StatikkShiv",33,3.03
TFT7_Anivia,"ArchangelsStaff, Morellonomicon, RabadonsDeathcap",36,3.08
TFT7_Anivia,"HextechGunblade, Morellonomicon, StatikkShiv",21,3.1
TFT7_Anivia,"ArchangelsStaff, HextechGunblade, StatikkShiv",15,3.2
TFT7_AoShin,"ArchangelsStaff, JeweledGauntlet, StatikkShiv",12,2.83
TFT7_AoShin,"ArchangelsStaff, GuinsoosRageblade, SpearOfShojin",14,3.07
TFT7_AoShin,"ArchangelsStaff, MadredsBloodrazor, UnstableConcoction",17,3.18
TFT7_AoShin,"ArchangelsStaff, MageEmblemItem, SpearOfShojin",39,3.41
TFT7_AoShin,"ArchangelsStaff, HextechGunblade, StatikkShiv",12,3.42
TFT7_Ashe,"None, None, PowerGauntlet",16,3.38
TFT7_Ashe,"None, None, Zephyr",40,3.52
TFT7_Ashe,"InfinityEdge, None, None",12,3.67
TFT7_Ashe,"None, None, RecurveBow",17,3.71
TFT7_Ashe,"LastWhisper, None, None",24,3.71
TFT7_AurelionSol,"HextechGunblade, JeweledGauntlet, MageEmblemItem",12,2.42
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, RabadonsDeathcap",13,2.77
TFT7_AurelionSol,"ArchangelsStaff, MadredsBloodrazor, UnstableConcoction",19,2.79
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, JeweledGauntlet",40,3.02
TFT7_AurelionSol,"HextechGunblade, InfinityEdge, JeweledGauntlet",19,3.05
TFT7_Bard,"None, None, ThiefsGloves",12,1.5
TFT7_Bard,"None, None, ShimmerscaleEmblemItem",31,2.39
TFT7_Bard,"None, PowerGauntlet, ZekesHerald",15,2.53
TFT7_Bard,"None, None, Redemption",25,2.56
TFT7_Bard,"None, None, RedBuff",14,2.79
TFT7_Braum,"None, None, Redemption",29,3.79
TFT7_Braum,"GargoyleStoneplate, RedBuff, WarmogsArmor",18,3.94
TFT7_Braum,"None, None, Shroud",52,4.02
TFT7_Braum,"FrozenHeart, None, None",29,4.14
TFT7_Braum,"LocketOfTheIronSolari, None, None",12,4.17
TFT7_Corki,"GuinsoosRageblade, HextechGunblade, RunaansHurricane",20,2.95
TFT7_Corki,"InfinityEdge, RunaansHurricane, StatikkShiv",12,3.25
TFT7_Corki,"GuinsoosRageblade, RunaansHurricane, StatikkShiv",30,3.3
TFT7_Corki,"LastWhisper, StatikkShiv, UnstableConcoction",12,3.42
TFT7_Corki,"LastWhisper, RunaansHurricane, StatikkShiv",16,3.69
TFT7_Diana,"FrozenHeart, InfinityEdge, IonicSpark",20,4.05
TFT7_Diana,"FrozenHeart, IonicSpark, RedBuff",69,4.07
TFT7_Diana,"None, None, None",25493,4.5
TFT7_Diana,"ArchangelsStaff, FrozenHeart, IonicSpark",13,4.77
TFT7_Diana,"FrozenHeart, IonicSpark, None",14,5.0
TFT7_DragonBlue,"GuinsoosRageblade, Morellonomicon, UnstableConcoction",13,2.77
TFT7_DragonBlue,"GuinsoosRageblade, Quicksilver, WhispersEmblemItem",25,3.0
TFT7_DragonBlue,"ArchangelsStaff, MadredsBloodrazor, Morellonomicon",37,3.35
TFT7_DragonBlue,"GuinsoosRageblade, RevelEmblemItem, StatikkShiv",23,3.35
TFT7_DragonBlue,"GuinsoosRageblade, MadredsBloodrazor, RabadonsDeathcap",12,3.42
TFT7_DragonGold,"BrambleVest, DragonsClaw, WarmogsArmor",23,3.39
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, ShimmerscaleDiamondHands",51,3.57
TFT7_DragonGold,"DragonsClaw, RedBuff, WarmogsArmor",59,3.58
TFT7_DragonGold,"GargoyleStoneplate, GargoyleStoneplate, ShimmerscaleDiamondHands",12,3.58
TFT7_DragonGold,"RedBuff, Redemption, WarmogsArmor",21,3.62
TFT7_DragonGreen,"GuardianAngel, HextechGunblade, TitansResolve",12,2.58
TFT7_DragonGreen,"Bloodthirster, GuardianAngel, Quicksilver",12,2.83
TFT7_DragonGreen,"GuardianAngel, OrnnDeathsDefiance, TitansResolve",16,2.94
TFT7_DragonGreen,"GuardianAngel, MadredsBloodrazor, TitansResolve",42,3.48
TFT7_DragonGreen,"GuardianAngel, MadredsBloodrazor, UnstableConcoction",65,3.66
TFT7_DragonPurple,"GuardianAngel, TitansResolve, UnstableConcoction",12,3.58
TFT7_DragonPurple,"GuardianAngel, InfinityEdge, UnstableConcoction",13,3.62
TFT7_DragonPurple,"Bloodthirster, GuinsoosRageblade, UnstableConcoction",17,3.82
TFT7_DragonPurple,"Bloodthirster, GuardianAngel, TitansResolve",51,3.86
TFT7_DragonPurple,"Quicksilver, TitansResolve, UnstableConcoction",12,3.92
TFT7_Elise,"None, None, Shroud",16,3.31
TFT7_Elise,"None, None, None",25700,4.49
TFT7_Elise,"ArchangelsStaff, Bloodthirster, GuinsoosRageblade",13,4.85
TFT7_Elise,"GuinsoosRageblade, Quicksilver, UnstableConcoction",13,4.92
TFT7_Elise,"Bloodthirster, GuinsoosRageblade, Quicksilver",79,5.1
TFT7_Ezreal,"None, None, None",26287,4.5
TFT7_Gnar,"IonicSpark, None, None",44,2.93
TFT7_Gnar,"None, None, Zephyr",115,3.3
TFT7_Gnar,"None, None, RagewingEmblemItem",27,3.48
TFT7_Gnar,"FrozenHeart, None, None",43,3.49
TFT7_Gnar,"None, None, Redemption",21,3.52
TFT7_Hecarim,"LocketOfTheIronSolari, LocketOfTheIronSolari, None",17,2.88
TFT7_Hecarim,"None, None, StatikkShiv",16,3.31
TFT7_Hecarim,"Morellonomicon, None, SeraphsEmbrace",21,3.43
TFT7_Hecarim,"None, None, Redemption",31,3.61
TFT7_Hecarim,"None, None, TitanicHydra",58,3.72
TFT7_Heimerdinger,"None, None, StatikkShiv",15,2.2
TFT7_Heimerdinger,"None, None, Zephyr",74,3.26
TFT7_Heimerdinger,"CannoneerEmblemItem, None, None",12,3.33
TFT7_Heimerdinger,"None, None, Shroud",54,3.35
TFT7_Heimerdinger,"None, None, RecurveBow",14,3.57
TFT7_Illaoi,"GargoyleStoneplate, RedBuff, Redemption",21,3.43
TFT7_Illaoi,"None, None, Zephyr",18,3.44
TFT7_Illaoi,"LocketOfTheIronSolari, None, None",12,4.0
TFT7_Illaoi,"None, None, Shroud",23,4.0
TFT7_Illaoi,"FrozenHeart, PowerGauntlet, ThiefsGloves",13,4.08
TFT7_Jinx,"None, ZekesHerald, ZekesHerald",19,3.74
TFT7_Jinx,"None, None, Zephyr",30,3.87
TFT7_Jinx,"None, None, PowerGauntlet",21,4.14
TFT7_Jinx,"LocketOfTheIronSolari, None, None",20,4.4
TFT7_Jinx,"None, None, None",25305,4.49
