placement,group,comp,grp_count,grp_placement,mode
8,-1,"DragonPurple, Pyke, Soraka, Sylas, Thresh, Zoe",,4.99,Tristana
5,-1,"Bard, Corki, DragonGold, Kayn, Volibear, Xayah",,4.99,Tristana
5,-1,"DragonBlue, Hecarim, Lillia, Ornn, Sylas, Yasuo, Zoe",,4.99,Tristana
5,-1,"Braum, DragonBlue, Neeko, Nunu, Soraka",,4.99,Tristana
2,-1,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Zoe",,4.99,Tristana
5,-1,"Bard, DragonGold, Ryze, Talon, Twitch, Xayah",,4.99,Tristana
2,-1,"AoShin, DragonGold, DragonGreen, DragonPurple, Ornn",,4.99,Tristana
5,-1,"Bard, Corki, Jinx, Neeko, Shyvana, Soraka",,4.99,Tristana
5,-1,"DragonPurple, Hecarim, Ornn, Pyke, Shen, Sylas, Talon, Xayah",,4.99,Tristana
5,-1,"Ashe, DragonPurple, Kayn, Pyke, Sylas, Xayah, Yasuo",,4.99,Tristana
5,-1,"Hecarim, Lillia, Nunu, Twitch, Yasuo",,4.99,Tristana
5,-1,"Anivia, Ashe, Bard, DragonGold, Lulu, Sona, Soraka",,4.99,Tristana
5,-1,"Illaoi, Lulu, Ornn, Pyke, Soraka, Sylas, Talon, TrainerDragon, Tristana",,4.99,Tristana
5,-1,"AurelionSol, Lulu, Nami, Ornn, Sylas, Zoe",,4.99,Tristana
5,-1,"DragonGold, Kayn, LeeSin, Swain, Volibear, Yasuo",,4.99,Tristana
5,-1,"Illaoi, LeeSin, Ryze, Sylas, Varus",,4.99,Tristana
5,-1,"DragonBlue, Elise, Neeko, Sylas, Thresh",,4.99,Tristana
5,-1,"AoShin, Gnar, Neeko, Ornn, Soraka, Sylas",,4.99,Tristana
5,-1,"Ashe, LeeSin, Neeko, Swain, Yasuo",,4.99,Tristana
5,-1,"AoShin, Braum, Olaf, Ornn, Pyke, Shen, Soraka, Thresh",,4.99,Tristana
5,-1,"DragonGold, Hecarim, Kayn, Ornn, Shen, Xayah",,4.99,Tristana
5,-1,"Bard, Nunu, Pyke, Ryze, Talon, Twitch",,4.99,Tristana
5,-1,"Bard, Hecarim, Shen, Shyvana, Twitch, Xayah, Yasuo",,4.99,Tristana
5,-1,"Corki, DragonPurple, Sona, Soraka, Sylas, Zoe",,4.99,Tristana
