placement,group,comp,grp_count,grp_placement,mode
7,0,"AoShin, AurelionSol, DragonEarth, DragonGuild, Jayce, Soraka",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
8,0,"AurelionSol, Bard, DragonEarth, LeeSin, Soraka, Yasuo, Zoe",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
1,0,"AoShin, Bard, DragonEarth, Graves, Seraphine, Soraka",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
4,0,"AoShin, DragonEarth, DragonGreen, Shyvana, Soraka",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
4,0,"AoShin, Bard, DragonEarth, LeeSin, Seraphine, Soraka, Yasuo",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
4,0,"AoShin, DragonEarth, Graves, Nilah, Shyvana, Soraka",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
5,0,"AoShin, DragonEarth, Jayce, Seraphine, Soraka, Sylas, Zac",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
1,0,"AoShin, Bard, DragonEarth, Jayce, LeeSin, Shyvana, Soraka, Yasuo",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
2,0,"Bard, DragonEarth, DragonGuild, Graves, Rakan, Soraka, Yasuo",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
6,0,"AoShin, DragonEarth, Jayce, Rakan, Soraka, Yasuo, Zac",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
7,0,"Aphelios, DragonEarth, DragonSwain, Graves, Rengar, Soraka",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
6,0,"DragonEarth, Gnar, Jayce, Shyvana, Soraka",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
2,0,"AoShin, AurelionSol, DragonEarth, DragonGold, LeeSin, Soraka, Yasuo",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
